descricao_produto_preco_minimo,id_produto,uf,regionalizacao,ano_inicio_vigencia,mes_incio_vigencia,ano_termino_vigencia,mes_termino_vigencia,preco,dsc_unidade_comercializacao,nome_normativo,url,local
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,CE
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2014,2,2015,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2015,2,2016,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,DF
ARROZ LONGO EM CASCA                    ,4686,DF,DF             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,DF
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2014,2,2015,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2015,2,2016,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,GO
ARROZ LONGO EM CASCA                    ,4686,GO,GO             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,GO
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2014,2,2015,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2015,2,2016,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,MA
ARROZ LONGO EM CASCA                    ,4686,MA,MA             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,MA
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2014,2,2015,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2015,2,2016,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,MS
ARROZ LONGO EM CASCA                    ,4686,MS,MS             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,MS
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2014,2,2015,1,24.45,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2015,2,2016,1,24.45,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,MT
ARROZ LONGO EM CASCA                    ,4686,MT,MT             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,MT
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2014,2,2015,1,24.45,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,PA
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2015,2,2016,1,24.45,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,PA
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,PA
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,PA
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,PA
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,PA
ARROZ LONGO EM CASCA                    ,4686,PA,PA             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,PA
