dsc_fonte,municipio_origem,cod_ibge_origem,uf_origem,municipio_destino,cod_ibge_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada,local
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,9,992,"218,0","0,2198",09/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,9,361,"84,56","0,2342",09/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,10,992,"166,5","0,1678",10/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,10,361,"99,0","0,2742",10/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,10,510,"106,67","0,2092",10/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,11,992,"188,67","0,1902",11/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,11,510,"118,0","0,2314",11/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,11,361,"118,0","0,3269",11/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,12,361,"115,0","0,3186",12/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,12,510,"118,0","0,2314",12/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,12,992,"189,5","0,191",12/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,1,992,"238,33","0,2403",01/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,1,510,"122,67","0,2405",01/2023,PR        
