municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Junho,992,"214,0","0,2155"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Julho,992,"237,0","0,2388"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Julho,510,"121,0","0,2379"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Agosto,992,"271,0","0,2734"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Agosto,510,"135,0","0,2647"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Setembro,992,"269,0","0,2709"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Setembro,510,"129,0","0,2523"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Outubro,992,"234,0","0,2359"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Outubro,510,"123,0","0,242"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Novembro,510,"122,0","0,24"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Novembro,992,"234,0","0,2359"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Dezembro,510,"121,0","0,2377"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Dezembro,992,"234,0","0,2359"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Janeiro,992,"195,0","0,1966"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Janeiro,510,"133,0","0,2608"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Fevereiro,510,"116,0","0,2275"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Fevereiro,992,"225,0","0,2268"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Março,510,"99,0","0,1941"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Março,992,"154,0","0,1552"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Abril,510,"94,0","0,1833"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Abril,992,"160,0","0,1613"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Maio,510,"103,0","0,202"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Maio,992,"170,0","0,1714"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Junho,510,"103,0","0,2026"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Junho,992,"215,0","0,2167"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Julho,510,"105,0","0,2049"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Julho,992,"226,0","0,2278"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Agosto,992,"201,0","0,2024"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Agosto,510,"102,0","0,2"
