municipio_origem,municipio_destino,ano,mes,uf_origem,uf_destino,soma_frete_tonelada,soma_tonelada_km,repeticoes,media_frete_tonelada,media_tonelada_km,distancia_km,data_padronizada
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Julho,PI        ,MA        ,"250,0","0,3086",1,"250,0","0,3086","810,0",07/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Junho,PI        ,MA        ,"264,0","0,3254",1,"264,0","0,3254","810,0",06/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Maio,PI        ,MA        ,"248,0","0,3062",1,"248,0","0,3062","810,0",05/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Março,PI        ,MA        ,"278,0","0,3432",1,"278,0","0,3432","810,0",03/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Novembro,PI        ,MA        ,"240,0","0,2963",1,"240,0","0,2963","810,0",11/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Outubro,PI        ,MA        ,"268,0","0,3309",1,"268,0","0,3309","810,0",10/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Setembro,PI        ,MA        ,"295,0","0,3642",1,"295,0","0,3642","810,0",09/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Abril,PI        ,MA        ,"210,0","0,2589",1,"210,0","0,2589","810,0",04/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Agosto,PI        ,MA        ,"265,0","0,3272",1,"265,0","0,3272","810,0",08/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Dezembro,PI        ,MA        ,"194,0","0,2395",1,"194,0","0,2395","810,0",12/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Fevereiro,PI        ,MA        ,"217,0","0,2679",1,"217,0","0,2679","810,0",02/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Janeiro,PI        ,MA        ,"225,0","0,2778",1,"225,0","0,2778","810,0",01/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Julho,PI        ,MA        ,"253,0","0,3117",1,"253,0","0,3117","810,0",07/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Junho,PI        ,MA        ,"235,0","0,2901",1,"235,0","0,2901","810,0",06/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Maio,PI        ,MA        ,"228,0","0,2809",1,"228,0","0,2809","810,0",05/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Março,PI        ,MA        ,"218,0","0,2691",1,"218,0","0,2691","810,0",03/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Novembro,PI        ,MA        ,"201,0","0,2481",1,"201,0","0,2481","810,0",11/2024
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Outubro,PI        ,MA        ,"227,0","0,2802",1,"227,0","0,2802","810,0",10/2024
