municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Outubro,589,"179,0","0,3039",10/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Novembro,589,"161,0","0,2733",11/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Novembro,810,"201,0","0,2481",11/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Dezembro,810,"194,0","0,2395",12/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Dezembro,589,"158,0","0,2683",12/2024
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Fevereiro,963,"240,0","0,2492",02/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Fevereiro,804,"190,0","0,2363",02/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Fevereiro,294,"85,0","0,2891",02/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Março,294,"90,0","0,3061",03/2023
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Março,963,"250,0","0,2596",03/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Março,804,"195,0","0,2425",03/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Abril,804,"195,0","0,2425",04/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Abril,294,"90,0","0,3061",04/2023
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Abril,963,"250,0","0,2596",04/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Maio,949,"280,0","0,295",05/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Maio,294,"180,0","0,6122",05/2023
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Maio,963,"270,0","0,2804",05/2023
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Junho,963,"230,4","0,2393",06/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Junho,294,"90,0","0,3061",06/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Junho,804,"170,53","0,2121",06/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Julho,293,"80,5","0,2747",07/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Julho,819,"217,0","0,265",07/2023
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Julho,1437,"315,0","0,2192",07/2023
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Julho,1022,"255,0","0,2495",07/2023
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Agosto,1437,"330,0","0,2296",08/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Agosto,293,"88,2","0,301",08/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Agosto,819,"224,0","0,2735",08/2023
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Agosto,962,"172,0","0,1788",08/2023
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Setembro,1437,"310,0","0,2157",09/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Setembro,819,"227,25","0,2775",09/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Setembro,293,"88,0","0,3003",09/2023
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Outubro,1437,"310,0","0,2157",10/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Outubro,293,"89,25","0,3046",10/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Outubro,819,"226,84","0,277",10/2023
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Novembro,1437,"220,0","0,1531",11/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Novembro,819,"158,25","0,1932",11/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Novembro,513,"111,0","0,2164",11/2023
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Dezembro,1437,"260,0","0,1809",12/2023
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Dezembro,819,"140,0","0,1709",12/2023
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2024,Janeiro,293,"79,0","0,269",01/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Janeiro,1437,"205,0","0,1427",01/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Fevereiro,819,"166,0","0,2023",02/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Fevereiro,1437,"64,0","0,0447",02/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Março,1437,"53,0","0,0365",03/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Março,819,"189,0","0,2308",03/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Abril,819,"135,0","0,1648",04/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Abril,1437,"77,0","0,0536",04/2024
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2024,Maio,293,"69,0","0,2346",05/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Maio,819,"164,0","0,2002",05/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Maio,1437,"215,0","0,1496",05/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Junho,1437,"312,0","0,2171",06/2024
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2024,Junho,293,"77,0","0,2615",06/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Junho,819,"180,0","0,2198",06/2024
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2024,Julho,513,"110,13","0,2147",07/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Julho,1039,"236,0","0,2271",07/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Setembro,1437,"300,0","0,2088",09/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Setembro,819,"200,0","0,2442",09/2024
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2024,Setembro,293,"86,0","0,2947",09/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Outubro,819,"187,0","0,2277",10/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Outubro,1437,"260,0","0,1809",10/2024
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2024,Outubro,293,"70,0","0,2389",10/2024
BALSAS-MA                                         ,MA        ,CAMARAGIBE-PE                                     ,PE        ,2024,Novembro,1415,"180,0","0,1272",11/2024
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2024,Dezembro,819,"105,0","0,1282",12/2024
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2024,Dezembro,1437,"250,0","0,174",12/2024
BOM JESUS DA PENHA-MG                             ,MG        ,UBERLÂNDIA-MG                                     ,MG        ,2024,Setembro,378,"120,0","0,3175",09/2024
BOM JESUS DA PENHA-MG                             ,MG        ,UBERLÂNDIA-MG                                     ,MG        ,2024,Outubro,378,"120,0","0,3175",10/2024
BOM JESUS DA PENHA-MG                             ,MG        ,UBERLÂNDIA-MG                                     ,MG        ,2024,Novembro,378,"120,0","0,3175",11/2024
BOM JESUS DE GOIÁS-GO                             ,GO        ,PONTALINA-GO                                      ,GO        ,2014,Novembro,109,"30,89","0,28",11/2014
BOM JESUS DE GOIÁS-GO                             ,GO        ,PONTALINA-GO                                      ,GO        ,2015,Março,109,"28,07","0,2575",03/2015
BOM JESUS DE GOIÁS-GO                             ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2021,Maio,226,"67,0","0,2965",05/2021
BOM JESUS DE GOIÁS-GO                             ,GO        ,IMBITUBA-SC                                       ,SC        ,2021,Maio,1507,"236,0","0,1566",05/2021
BOM JESUS DE GOIÁS-GO                             ,GO        ,ARAGUARI-MG                                       ,MG        ,2021,Maio,197,"68,4","0,3472",05/2021
BOM JESUS DE GOIÁS-GO                             ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2021,Maio,1179,"202,0","0,1713",05/2021
BOM JESUS DE GOIÁS-GO                             ,GO        ,UBERABA-MG                                        ,MG        ,2021,Maio,309,"67,8","0,2194",05/2021
BOM JESUS DE GOIÁS-GO                             ,GO        ,SANTOS-SP                                         ,SP        ,2021,Maio,841,"199,0","0,2366",05/2021
